15-Sep-14,Plant Name,U1 mwh,U1 - Pump mwh,U1-MW Inst.,U2 mwh,U2 - Pump mwh,U2-MW Inst.,U3 mwh - gen,U3 mwh - pump,U3-MW Inst.
14091500,Flatiron,25.0,,25.1,0.0,,0.0,0.0,9.0,-8.5
14091500,Mt Elbert,0.0,0.0,0.3,0.0,119.0,-122.5,,,
14091500,Green Mtn,5.6,,5.8,6.0,,6.3,,,
14091500,Marys Lake,7.0,,6.5,,,,,,
14091500,Estes,0.0,,0.0,0.0,,0.0,15.0,,10.4
14091500,Polehill,32.0,,32.7,,,,,,
14091500,Big Thompson,0.0,,0.0,,,,,,
14091501,Flatiron,25.0,,16.1,0.0,,0.0,0.0,9.0,-8.5
14091501,Mt Elbert,0.0,0.0,0.3,0.0,123.0,-122.0,,,
14091501,Green Mtn,5.8,,6.1,6.2,,6.7,,,
14091501,Marys Lake,6.0,,6.5,,,,,,
14091501,Estes,0.0,,0.0,0.0,,0.0,10.0,,10.3
14091501,Polehill,32.0,,33.0,,,,,,
14091501,Big Thompson,0.0,,0.0,,,,,,
14091502,Flatiron,12.0,,11.1,0.0,,0.0,0.0,8.0,-8.6
14091502,Mt Elbert,0.0,0.0,0.4,0.0,122.0,-122.0,,,
14091502,Green Mtn,5.8,,5.7,6.0,,6.2,,,
14091502,Marys Lake,7.0,,6.2,,,,,,
14091502,Estes,0.0,,0.0,0.0,,0.0,9.0,,10.1
14091502,Polehill,33.0,,32.7,,,,,,
14091502,Big Thompson,0.0,,0.0,,,,,,
14091503,Flatiron,12.0,,11.3,0.0,,0.0,0.0,9.0,-8.5
14091503,Mt Elbert,0.0,0.0,0.3,0.0,123.0,-121.8,,,
14091503,Green Mtn,5.6,,5.7,6.0,,6.2,,,
14091503,Marys Lake,7.0,,6.2,,,,,,
14091503,Estes,0.0,,0.0,0.0,,0.0,10.0,,10.0
14091503,Polehill,32.0,,32.4,,,,,,
14091503,Big Thompson,0.0,,0.0,,,,,,
14091504,Flatiron,11.0,,11.2,0.0,,0.0,0.0,9.0,-8.5
14091504,Mt Elbert,0.0,0.0,0.3,0.0,122.0,-121.6,,,
14091504,Green Mtn,5.8,,6.0,6.0,,6.1,,,
14091504,Marys Lake,6.0,,6.8,,,,,,
14091504,Estes,0.0,,0.0,0.0,,0.0,10.0,,10.0
14091504,Polehill,32.0,,32.3,,,,,,
14091504,Big Thompson,0.0,,0.0,,,,,,
14091505,Flatiron,12.0,,11.3,0.0,,0.0,0.0,8.0,-8.5
14091505,Mt Elbert,0.0,0.0,0.3,0.0,122.0,-121.4,,,
14091505,Green Mtn,5.8,,5.9,6.2,,6.4,,,
14091505,Marys Lake,7.0,,6.6,,,,,,
14091505,Estes,0.0,,0.0,0.0,,0.0,10.0,,10.1
14091505,Polehill,32.0,,32.6,,,,,,
14091505,Big Thompson,0.0,,0.0,,,,,,
14091506,Flatiron,11.0,,16.9,0.0,,10.0,0.0,9.0,-8.5
14091506,Mt Elbert,0.0,0.0,0.4,0.0,121.0,-121.3,,,
14091506,Green Mtn,5.9,,5.6,6.3,,6.0,,,
14091506,Marys Lake,6.0,,6.2,,,,,,
