ALL DATA ARE PROVISIONAL AND SUBJECT TO REVISION
08363300 Rio Grande at Hayner's Bridge
    Date     Time                                                  Precip
             MST       Stage (m)          Discharge (cms)        (Accum-mm)
07/07/2018   09:45       1.761                                          
07/07/2018   09:30       1.764                                          
07/07/2018   09:15       1.763                                          
07/07/2018   09:00       1.765                47.40                     
07/07/2018   08:45       1.764                47.30                     
07/07/2018   08:30       1.765                47.40                     
07/07/2018   08:15       1.761                47.10                     
07/07/2018   08:00       1.761                47.10                44.00
07/07/2018   07:45       1.763                47.30                44.00
07/07/2018   07:30       1.761                47.10                44.00
07/07/2018   07:15       1.759                47.00                44.00
07/07/2018   07:00       1.760                47.10                44.00
07/07/2018   06:45       1.762                47.20                44.00
07/07/2018   06:30       1.761                47.10                44.00
07/07/2018   06:15       1.762                47.20                44.00
07/07/2018   06:00       1.763                47.30                44.00
07/07/2018   05:45       1.760                47.10                44.00
07/07/2018   05:30       1.761                47.10                44.00
07/07/2018   05:15       1.760                47.10                44.00
07/07/2018   05:00       1.760                47.10                44.00
07/07/2018   04:45       1.757                46.80                44.00
07/07/2018   04:30       1.759                47.00                44.00
07/07/2018   04:15       1.759                47.00                44.00
07/07/2018   04:00       1.757                46.80                44.00
07/07/2018   03:45       1.758                46.90                44.00
07/07/2018   03:30       1.756                46.80                44.00
07/07/2018   03:15       1.758                46.90                44.00
07/07/2018   03:00       1.756                46.80                44.00
07/07/2018   02:45       1.756                46.80                43.80
07/07/2018   02:30       1.755                46.70                43.80
07/07/2018   02:15       1.755                46.70                43.80
07/07/2018   02:00       1.757                46.80                43.80
07/07/2018   01:45       1.755                46.70                43.80
07/07/2018   01:30       1.759                47.00                43.80
07/07/2018   01:15       1.759                47.00                43.80
07/07/2018   01:00       1.758                46.90                43.80
07/07/2018   00:45       1.758                46.90                43.80
07/07/2018   00:30       1.759                47.00                43.80
07/07/2018   00:15       1.762                47.20                43.80
07/07/2018   00:00       1.759                47.00                43.80
07/06/2018   23:45       1.760                47.10                43.80
07/06/2018   23:30       1.760                47.10                43.80
07/06/2018   23:15       1.762                47.20                43.80
07/06/2018   23:00       1.762                47.20                43.80
07/06/2018   22:45       1.763                47.30                43.80
07/06/2018   22:30       1.766                47.50                43.80
07/06/2018   22:15       1.767                47.60                43.80
07/06/2018   22:00       1.771                47.80                43.80
07/06/2018   21:45       1.768                47.60                43.80
07/06/2018   21:30       1.768                47.60                43.80
07/06/2018   21:15       1.773                48.00                43.80
07/06/2018   21:00       1.774                48.10                43.80
07/06/2018   20:45       1.775                48.10                43.80
07/06/2018   20:30       1.777                48.30                43.80
07/06/2018   20:15       1.781                48.60                43.80
07/06/2018   20:00       1.779                48.40                43.80
07/06/2018   19:45       1.783                48.70                43.80
07/06/2018   19:30       1.783                48.70                43.80
07/06/2018   19:15       1.790                49.20                43.80
07/06/2018   19:00       1.789                49.10                43.80
07/06/2018   18:45       1.794                49.50                43.80
07/06/2018   18:30       1.796                49.60                43.80
07/06/2018   18:15       1.797                49.70                43.80
07/06/2018   18:00       1.800                49.90                43.80
07/06/2018   17:45       1.802                50.10                43.80
07/06/2018   17:30       1.803                50.20                43.80
07/06/2018   17:15       1.806                50.40                43.80
07/06/2018   17:00       1.809                50.60                43.80
07/06/2018   16:45       1.810                50.70                43.80
07/06/2018   16:30       1.809                50.60                43.80
07/06/2018   16:15       1.813                50.90                43.80
07/06/2018   16:00       1.815                51.00                43.80
07/06/2018   15:45       1.815                51.00                43.80
07/06/2018   15:30       1.815                51.00                43.80
07/06/2018   15:15       1.815                51.00                43.80
07/06/2018   15:00       1.817                51.20                43.80
07/06/2018   14:45       1.814                51.00                43.80
07/06/2018   14:30       1.812                50.80                43.80
07/06/2018   14:15       1.812                50.80                43.80
07/06/2018   14:00       1.813                50.90                43.80
07/06/2018   13:45       1.813                50.90                43.80
07/06/2018   13:30       1.814                51.00                43.80
07/06/2018   13:15       1.818                51.30                43.80
07/06/2018   13:00       1.815                51.00                43.80
07/06/2018   12:45       1.814                51.00                43.80
07/06/2018   12:30       1.814                51.00                43.80
07/06/2018   12:15       1.814                51.00                43.80
07/06/2018   12:00       1.821                51.50                43.80
07/06/2018   11:45       1.816                51.10                43.80
07/06/2018   11:30       1.815                51.00                43.80
07/06/2018   11:15       1.814                51.00                43.80
07/06/2018   11:00       1.819                51.30                43.80
07/06/2018   10:45       1.817                51.20                43.80
07/06/2018   10:30       1.815                51.00                43.80
