Reading,Receive,Value,Unit,Quality
2016-07-22 23:40:00,2016-07-22 23:40:03,5.35,ft,A
2016-07-22 23:10:03,2016-07-22 23:10:07,5.34,ft,A
2016-07-22 22:39:58,2016-07-22 22:40:01,5.34,ft,A
2016-07-22 22:10:18,2016-07-22 22:10:21,5.33,ft,A
2016-07-22 21:40:17,2016-07-22 21:40:20,5.33,ft,A
2016-07-22 21:10:37,2016-07-22 21:10:40,5.33,ft,A
2016-07-22 20:40:24,2016-07-22 20:40:27,5.33,ft,A
2016-07-22 20:10:22,2016-07-22 20:10:25,5.31,ft,A
2016-07-22 19:40:18,2016-07-22 19:40:21,5.32,ft,A
2016-07-22 19:10:23,2016-07-22 19:10:26,5.32,ft,A
2016-07-22 18:40:16,2016-07-22 18:40:19,5.33,ft,A
2016-07-22 18:10:13,2016-07-22 18:10:17,5.34,ft,A
2016-07-22 17:40:19,2016-07-22 17:40:23,5.34,ft,A
2016-07-22 17:10:49,2016-07-22 17:10:53,5.35,ft,A
2016-07-22 16:40:51,2016-07-22 16:40:54,5.38,ft,A
2016-07-22 16:11:08,2016-07-22 16:11:11,5.43,ft,A
2016-07-22 15:40:38,2016-07-22 15:40:41,5.44,ft,A
2016-07-22 15:10:55,2016-07-22 15:10:59,5.43,ft,A
2016-07-22 14:40:48,2016-07-22 14:40:51,5.43,ft,A
2016-07-22 14:10:48,2016-07-22 14:10:52,5.43,ft,A
2016-07-22 13:40:31,2016-07-22 13:40:34,5.42,ft,A
2016-07-22 13:10:31,2016-07-22 13:10:34,5.39,ft,A
2016-07-22 12:40:26,2016-07-22 12:40:29,5.38,ft,A
2016-07-22 12:10:47,2016-07-22 12:10:50,5.39,ft,A
2016-07-22 11:10:50,2016-07-22 11:10:53,5.38,ft,A
2016-07-22 10:40:32,2016-07-22 10:40:35,5.37,ft,A
2016-07-22 10:10:29,2016-07-22 10:10:33,5.36,ft,A
2016-07-22 09:40:31,2016-07-22 09:40:34,5.36,ft,A
2016-07-22 09:10:56,2016-07-22 09:11:00,5.34,ft,A
2016-07-22 08:41:10,2016-07-22 08:41:13,5.34,ft,A
2016-07-22 08:12:03,2016-07-22 08:12:06,5.33,ft,A
2016-07-22 07:42:12,2016-07-22 07:42:16,5.19,ft,A
2016-07-22 07:12:35,2016-07-22 07:12:38,4.97,ft,A
2016-07-22 06:43:04,2016-07-22 06:43:08,4.98,ft,A
2016-07-22 06:12:40,2016-07-22 06:12:47,4.97,ft,A
2016-07-22 05:41:31,2016-07-22 05:41:34,4.97,ft,A
2016-07-22 05:12:00,2016-07-22 05:12:04,4.98,ft,A
