Combined Id,Numeric ID,State,State ID,NWS ID,Name,County,HDB Site
AZ0750,020750,AZ,2,0750,BETATAKIN,NAVAJO,Betatakin_020750
AZ1248,021248,AZ,2,1248,CANYON DE CHELLY,APACHE,Canyon De Chelly_021248
AZ4849,024849,AZ,2,4849,LEES FERRY,COCONINO,Lees Ferry_024849
AZ5129,025129,AZ,2,5129,LUKACHUKAI,APACHE,Lukachukai_025129
AZ6180,026180,AZ,2,6180,PAGE,COCONINO,Page_026180
AZ8468,028468,AZ,2,8468,TEEC NOS POS,APACHE,Teec Nos Pos_028468
AZ9114,029114,AZ,2,9114,WAHWEAP,COCONINO,Wahweap_029114
UT0688,420688,UT,42,0688,BIG WATER,KANE,Big Water_420688
CO0214,050214,CO,5,0214,ALTENBERN,GARFIELD,Altenbern_050214
CO0370,050370,CO,5,0370,ASPEN,PITKIN,Aspen_050370
CO0372,050372,CO,5,0372,ASPEN 1 SW,PITKIN,Aspen 1 Sw_050372
CO0514,050514,CO,5,0514,BASALT,EAGLE,Basalt_050514
CO0825,050825,CO,5,0825,BONHAM RSVR,MESA,Bonham Rsvr_050825
CO1017,051017,CO,5,1017,BROWNS PARK REFUGE,MOFFAT,Browns Park Refuge_051017
CO1440,051440,CO,5,1440,CEDAREDGE,DELTA,Cedaredge_051440
CO1609,051609,CO,5,1609,CIMARRON,MONTROSE,Cimarron_051609
CO1713,051713,CO,5,1713,COCHETOPA CREEK,GUNNISON,Cochetopa Creek_051713
CO1741,051741,CO,5,1741,COLLBRAN,MESA,Collbran_051741
CO1886,051886,CO,5,1886,CORTEZ,MONTEZUMA,Cortez_051886
CO1932,051932,CO,5,1932,CRAIG 4 SW,MOFFAT,Craig 4 Sw_051932
CO1959,051959,CO,5,1959,CRESTED BUTTE,GUNNISON,Crested Butte_051959
CO2192,052192,CO,5,2192,DELTA,DELTA,Delta_052192
CO2281,052281,CO,5,2281,DILLON 1 E,SUMMIT,Dillon 1 E_052281
CO2286,052286,CO,5,2286,DINOSAUR NM,MOFFAT,Dinosaur Nm_052286
CO2326,052326,CO,5,2326,DOLORES,MONTEZUMA,Dolores_052326
CO2432,052432,CO,5,2432,DURANGO,LA PLATA,Durango_052432
